'eventId','timestamp','srcIp','srcName','dstIp','dstName','srcPort','dstPort','sigName','sigId','status_type','status_value',
'6567504096570010','1557294761.779','10.24.24.15','','10.32.228.224','','54486','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096570011','1557294761.779','10.24.24.15','','10.32.228.224','','54486','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096570003','1557294691.953','10.24.24.15','','10.32.228.175','','62749','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096570004','1557294691.953','10.24.24.15','','10.32.228.175','','62749','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096570000','1557294651.427','10.24.24.15','','10.32.228.140','','58030','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096570001','1557294651.427','10.24.24.15','','10.32.228.140','','58030','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096569993','1557294608.133','10.24.24.15','','10.32.228.106','','52998','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096569994','1557294608.133','10.24.24.15','','10.32.228.106','','52998','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096567503','1557281734.631','10.24.92.16','','10.24.162.161','','52929','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096567504','1557281734.631','10.24.92.16','','10.24.162.161','','52929','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096567470','1557281565.187','10.24.92.16','','10.24.162.10','','49539','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096567471','1557281565.187','10.24.92.16','','10.24.162.10','','49539','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096564530','1557262146.496','10.24.219.2','','10.25.7.65','','59558','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564531','1557262146.496','10.24.219.2','','10.25.7.65','','59558','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564526','1557262095.968','10.24.219.2','','10.25.7.49','','53721','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564527','1557262095.968','10.24.219.2','','10.25.7.49','','53721','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564519','1557262061.272','10.24.219.2','','10.25.7.39','','49739','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564520','1557262061.272','10.24.219.2','','10.25.7.39','','49739','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564511','1557262024.315','10.24.219.2','','10.25.7.27','','61852','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564512','1557262024.315','10.24.219.2','','10.25.7.27','','61852','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564506','1557261994.282','10.24.219.2','','10.25.7.17','','58391','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564507','1557261994.282','10.24.219.2','','10.25.7.17','','58391','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
