#trxnhash,trxntype,received_datetime,confirmed_datetime,sending_address,receiving_address,BTC,EUR,USD,count,family
fa8d41bddeee8c9d99d67d114650879e5959b5a38a6528a7d181bd5d5c185cdb,incoming,2023-06-05 08:30:44+00:00,2023-06-05 08:30:44+00:00,['bc1pfewahnqzlz2ga6yw88yskqjp8wqnqfrchwvu4ewwhmqg5k74nhzstxz4mm'],"['3PpPGX7DagwP24yNQuLm64THWe8oTn7et8', 'bc1qt37vx5qrn8tlczeph2scu7t75tgt39la5xu5yl', '1GnsZYWvtpwNhbk1hFL8iU7J3iPDmYBosh', 'bc1qgfqyslcufma9fpk6skn6hr2wcwl0u4aquhksvc', '38AAKPwH2jhPPfiqdCUU79MD1QwWTGsvo2', 'bc1qfccxcs9k4dwhghjh93cp7jqcxp78cjx2y9t4ex', 'bc1qtcv2vv48683l7fcxpu74v3c6pwcnq69av3mr03', '12b2u7x25CXGhj5iZTPKpaY8qonxPEuYFK', 'bc1qksqe8fyflnnacrzgcuemenu2k8c67u0a0m7nvp', '12x5V2P56eZgimLjXybMCXdniuSRxoFqfF', 'bc1pfewahnqzlz2ga6yw88yskqjp8wqnqfrchwvu4ewwhmqg5k74nhzstxz4mm']",0.02,481.14,514.81,1,DeadBolt
7a821439498310e6f988785363053ede4963dd060da083e6fd9caf4fca1294ff,incoming,2023-05-30 14:27:07.065000+00:00,2023-05-30 14:56:00+00:00,['bc1q62kurmqxp8xkjyk7qtn6v8tjy8nj9zvvka78vp'],"['bc1qmn6gddj24mu68gxnndd3dkg0yeqk9cxfweqczj', 'bc1qksqe8fyflnnacrzgcuemenu2k8c67u0a0m7nvp']",0.03,774.78,831.06,1,DeadBolt
5c44e7b42bed69a023b17a001cd6683a11f56a50e19562e3b5989cd5c1d8bfe2,incoming,2022-01-27 04:55:28+00:00,2022-01-27 04:55:28+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1q9zuqzefyxyl2whufc4vt9vfhygep6a7yhk7l9h', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,1.82,2.03,1,DeadBolt
a3fec1ae78b731e440745bbaeaec3259808390cef079f202ffc9e378c951b400,incoming,2022-01-27 04:55:28+00:00,2022-01-27 04:55:28+00:00,['38M6fJqtLATit6eQXdfqpZtuRsiVkqVqpG'],"['bc1qtpucdnyg0uxpzcqevef2vqm8llpehlqkrcfew9', 'bc1q9zuqzefyxyl2whufc4vt9vfhygep6a7yhk7l9h']",0.03,1001.25,1115.7,1,DeadBolt
1ccab5efd83cab9f314932dd324d97cc453ce709a872c11697d4288ec2a4ae0a,incoming,2022-01-28 18:04:22+00:00,2022-01-28 18:04:22+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qdd6h6tldpxz6p909na572y558u8t5puvd6qyjf', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,1.85,2.06,1,DeadBolt
6dbf45aafa82a6e2f86860a3569fadff3dcfeadb88b805695c285fa943568ff3,incoming,2022-01-28 17:51:56+00:00,2022-01-28 17:51:56+00:00,['bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf'],"['38QwpF69WZTMg5VeSBdzNNwmo6QU7KKn9r', 'bc1qdd6h6tldpxz6p909na572y558u8t5puvd6qyjf', 'bc1qjnm0nxmm7j9g9zzy3cv3wne9znkjajacu7yqw0', '37VzuTeEFT7wPbzqFcGumUdXbZC419Ntt1', '3B5pQWTk9Bvz14s4RHgo9b2GDBS7mxZw5e', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf']",0.03,1016.61,1132.34,1,DeadBolt
8da2a9a084b50e47a4205b5b091f7053482caf499b378db7fbe540fbdfdec42a,incoming,2022-02-03 16:25:17+00:00,2022-02-03 16:25:17+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl', 'bc1qulkdse98eqtsknv2636rfk79039jfyr52erxtp']",5.46e-05,1.78,2.04,1,DeadBolt
5450a927b87c336fa4e26a841ee9518f2bbed7ad5bb80c83597d81920298f8aa,incoming,2022-02-03 16:12:44+00:00,2022-02-03 16:12:44+00:00,"['bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf']","['354pfWPZpM8EaHFbRvEBMLcWxD5e1YpeLr', '34Jo2ftFbkMkQHi1BsRSU75mV3ZuszRYgw', 'bc1qulkdse98eqtsknv2636rfk79039jfyr52erxtp', 'bc1qylnz83sdculnlxdua6jz4en4acc5s897s782yu', '1FaU7ZuoDTArwUSvMJKT8XJmYbaPhHWyxn', 'bc1qu9c3pfdza0tvzh95qapgzx2k4y84h3nvlr27vu', 'bc1q2lfhhr6wgn4xqez4tzwnxkff9zgeet85v7tnvv', 'bc1qj6rlwgyyh2ef2k63vk4d9aufw8py6ep0nxedht', '18a6S6Lr378afguXG8GjmPoGQ3Qb2HoKsM', '335umQ4egqMjDo6wSXYwQZYPntZzMveNTJ', 'bc1qm63wa60dgqdn5pepyac2rhgel8hrq3u6vu8sq9', '3PSXG7bhiqjXDefhc8ZqJKvGfoPkGcGQu1', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf']",0.03,979.39,1119.86,1,DeadBolt
b9bba689af04bb7c07d2ffef840b84013de1ac5484fefdc8d8720a1a2e967f47,incoming,2023-01-08 11:09:28.132000+00:00,2023-01-08 11:19:51+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl', 'bc1qr80s70dghj95w8uz6gdp8a554p7yyjj594umns']",5.46e-05,0.88,0.93,1,DeadBolt
f6286143d777a19afad498924a127bc35dea92a951ecaf2be3c64015c94e17ff,incoming,2023-01-07 06:21:03.570000+00:00,2023-01-07 06:34:35+00:00,['3J5XkhciMoCY4mB1J7VabFqEcMVpRne7jY'],"['3GBfuL7d3GLZG67p1HLrgoKEsxf62gP3mm', '1M8aV8rmmVaTp9e2s733DhMUEZ1jdDJbQr', 'bc1qfn4pnx8l9hhnuwlymgsjrlrgur3387ats8yt7d', '3BaQoitwMbtni4b3KonZDqW7dHM63XT93f', 'bc1qmjsdftvs7xlxku3vd26ntmshcyd3can5rexzrd', '381opRqBPu9TPxWF4U96sHwgJdx5p9MXZw', 'bc1qzwk5ev2gz2qpz2nukk7gejvmpq4vdqvjmnexp2', '3GYx8N6Qrp2gUejf6pZxxYZUcHJSdEY1U8', '1DopC2hAbG7MmzRvGSLW2cCkgsQRbTLfD8', '3J3WqMrCexQkqe9ET3NLHSU4m57jGJzS8a', '3Pk1vYqvfg71JPMQXwEZ1sEMNVbdSPz3PC', '3Fb3kPjn3FuQQH2t1nJidHL5xhCKece9D7', '3Je6bA5LngLWQZBz6kq3mXpi1tyMy8kZq7', '36d6e6rBbFnLQDzzhmuoaVLinDaXupSAG6', 'bc1q9u558qv4n9kyvmmwn7g7nw9a6a5jnn6puznl80', '39sYL2wkmT1yorSuiMDmQJgGWKa7cD5dQV', '3K7rszyUggkWxGhNDquEUnB5L1YTqYCY4F', '1MBeUYqjNoQD64wXcBC5q4V2sP88T1m9tB', '3GyTuYeCwyyHau7tBJ191MJCa2vCUegYgn', 'bc1qr80s70dghj95w8uz6gdp8a554p7yyjj594umns']",0.03012935,479.55,510.47,1,DeadBolt
